LAT	IT	DE	FR	ES	PT	EN
Acridotheres cristatellus	Maina crestata	Haubenmaina	Martin huppé	Miná Crestado	Mainato-de-poupa	Crested Myna
Acridotheres sp. (black myna sp.)			Acridotheres sp. (Martin foncé)			black myna sp.
Acridotheres sp.			Acridotheres sp.			Acridotheres sp.
Lamprotornis chalybaeus	Storno splendente guanceblu maggiore	Grünschwanz-Glanzstar	Choucador à oreillons bleus	Estornino Orejiazul	Estorninho-grande-d'orelha-azul	Greater Blue-eared Starling
Lamprotornis sp.			Lamprotornis sp.			Lamprotornis sp.
Sturnidae sp.			Sturnidae sp.			myna/starling sp.
Dumetella carolinensis	Uccello gatto capinero	Katzenvogel	Moqueur chat	Pájaro-gato Gris	Pássaro-gato	Gray Catbird
Toxostoma rufum	Mimo rossiccio	Rote Spottdrossel	Moqueur roux	Cuitlacoche Rojizo	Debulhador	Brown Thrasher
Mimus polyglottos	Mimo poliglotto	Spottdrossel	Moqueur polyglotte	Sinsonte Norteño	Tejo-da-praia	Northern Mockingbird
Mimus gilvus/polyglottos	Mimo poliglotto	Spottdrossel	Moqueur polyglotte	Sinsonte Común	Tejo-da-praia	Tropical/Northern Mockingbird
Zoothera aurea	Tordo dorato	Sibirische Erddrossel	Grive dorée	Zorzal de White		White's Thrush
Zoothera dauma	Tordo squamato	Himalajaerddrossel	Grive dama	Zorzal Dorado del Himalaya	Tordo-dourado	Scaly Thrush
Catharus fuscescens	Tordo usignolo bruno	Wilsondrossel	Grive fauve	Zorzalito Rojizo	Tordo-ruivo-americano	Veery
Catharus minimus	Tordo di Baird	Grauwangendrossel	Grive à joues grises	Zorzalito Carigrís	Sabia-de-cara-cinza	Gray-cheeked Thrush
Catharus minimus/bicknelli	Tordo usignolo minimo	Grauwangendrossel	Grive à joues grises	Tordo de Cara Gris	Sabia-de-cara-cinza	Gray-cheeked/Bicknell's Thrush
Catharus ustulatus	Tordo di Swainson	Zwergdrossel	Grive à dos olive	Zorzalito de Swainson	Sabia-de-oculos	Swainson's Thrush
Catharus ustulatus [ustulatus Group]		Zwergmusendrossel	Grive à dos roussâtre	Zorzalito quemado		Swainson's Thrush (Russet-backed)
Catharus ustulatus [swainsoni Group]		Swainsonmusendrossel	Grive à dos olive	Zorzalito de Swainson		Swainson's Thrush (Olive-backed)
Catharus guttatus	Tordo di Pallas	Einsiedlerdrossel	Grive solitaire	Zorzalito Colirrufo	Tordo-eremita	Hermit Thrush
Catharus guttatus faxoni/crymophilus			Grive solitaire [faxoni]			Hermit Thrush (faxoni/crymophilus)
Hylocichla mustelina	Tordo dei boschi	Walddrossel	Grive des bois	Zorzalito Maculado	Tordo-dos-bosques	Wood Thrush
Geokichla sibirica	Tordo siberiano	Schieferdrossel	Grive de Sibérie	Zorzal Siberiano	Melro da Sibéria	Siberian Thrush
Turdus viscivorus	Tordela	Misteldrossel	Grive draine	Zorzal Charlo	Tordeia	Mistle Thrush
Turdus philomelos	Tordo bottaccio	Singdrossel	Grive musicienne	Zorzal Común	Tordo-comum	Song Thrush
Turdus iliacus	Tordo sassello	Rotdrossel	Grive mauvis	Zorzal Alirrojo	Tordo-ruivo-comum	Redwing
Turdus iliacus coburni		Rotdrossel-coburni	Grive mauvis (Islande)			Redwing (Icelandic)
Turdus iliacus iliacus		Rotdrossel-iliacus	Grive mauvis (nominal)			Redwing (Eurasian)
Turdus merula	Merlo	Amsel	Merle noir	Mirlo Común	melro	Eurasian Blackbird
Turdus migratorius	Tordo migratore americano	Wanderdrossel	Merle d'Amérique	Zorzal Robín	Tordo-americano	American Robin
Turdus obscurus	Tordo oscuro	Weißbrauendrossel	Merle obscur	Zorzal Rojigrís	Tordo-escuro	Eyebrowed Thrush
Turdus pilaris	Cesena	Wacholderdrossel	Grive litorne	Zorzal Real	Tordo-zornal	Fieldfare
Turdus torquatus	Merlo dal collare	Ringdrossel	Merle à plastron	Mirlo Capiblanco	Melro-de-peito-branco	Ring Ouzel
Turdus torquatus torquatus		Ringdrossel-torquatus	Merle à plastron (nominal)			Ring Ouzel (Northern)
Turdus torquatus alpestris		Ringdrossel-alpestris	Merle à plastron (Alpes)			Ring Ouzel (Alpine)
Turdus torquatus amicorum		Ringdrossel-amicorum	Merle à plastron (Caucase)			Ring Ouzel (Caucasian)
Turdus atrogularis	Tordo golanera	Schwarzkehldrossel	Grive à gorge noire	Zorzal papinegro	Tordo-preto	Black-throated Thrush
Turdus ruficollis	Tordo golarossa	Rotkehldrossel	Grive à gorge rousse	Zorzal Papirrojo	Tordo-ruivo	Red-throated Thrush
Turdus atrogularis x ruficollis			Hybride Grive à gorge rousse x G. à gorge noire			Black-throated x Red-throated Thrush (hybrid)
Turdus eunomus	Cesena fosca	Rostflügeldrossel	Grive à ailes rousses	Zorzal eunomo	Tordo de Naumann	Dusky Thrush
Turdus naumanni	Cesena di Naumann	Rotschwanzdrossel	Grive de Naumann	Zorzal de Naumann	Tordo de Naumann	Naumann's Thrush
Turdus eunomus/naumanni	Cesena fosca	Naumann-Drossel	Grive de Naumann	Zorzal de Naumann	Tordo de Naumann	Dusky/Naumann's Thrush
Turdus sp.			Turdus sp.			Turdus sp.
Turdidae sp.			Turdidae sp.			thrush sp.
Muscicapa dauurica	Pigliamosche della Dauria	Braunschnäpper	Gobemouche brun	Papamoscas Pardo	Taralhão-castanho	Asian Brown Flycatcher
Muscicapa dauurica/williamsoni	Pigliamosche della Dauria	Braunschnäpper	Gobemouche brun	Papamoscas Pardo	Papa-moscas-pardo	Asian Brown/Brown-streaked Flycatcher
Muscicapa striata	Pigliamosche	Grauschnäpper	Gobemouche gris	Papamoscas Gris	Papa-moscas-cinzento	Spotted Flycatcher
Muscicapa striata [striata Group]	Pigliamosche	Grauschnäpper	Gobemouche gris	Papamoscas Gris	taralhão-cinzento	Spotted Flycatcher (Spotted)
Muscicapa striata tyrrhenica/balearica		Mittelmeer-Grauschnäpper	Gobemouche méditerranéen			Spotted Flycatcher (Mediterranean)
Muscicapa sp.			Muscicapa sp.			Muscicapa sp.
Cercotrichas galactotes	Usignolo d'Africa	Heckensänger	Agrobate roux	Alzacola Rojizo	Rouxinol-do-mato	Rufous-tailed Scrub-Robin
Cercotrichas galactotes [galactotes Group]	Usignolo d'Africa	Heckensänger	Agrobate roux	Alzarola	Rouxinol-do-mato	Rufous-tailed Scrub-Robin (Rufous-tailed)
Erithacus rubecula	Pettirosso	Rotkehlchen	Rougegorge familier	Petirrojo Europeo	Pisco-de-peito-ruivo	European Robin
Larvivora sibilans	Usignolo di Swinhoe	Schwirrnachtigall	Rossignol siffleur	Ruiseñor Silbador		Rufous-tailed Robin
Larvivora cyane	Usignolo azzurro siberiano	Blaunachtigall	Rossignol bleu	Ruiseñor Azul	Rouxinol-azul	Siberian Blue Robin
Irania gutturalis	Pettirosso golabianca	Weißkehlsänger	Iranie à gorge blanche	Petirrojo de Irán	Rouxinol-de-garganta-branca	White-throated Robin
Luscinia luscinia	Usignolo maggiore	Sprosser	Rossignol progné	Ruiseñor Ruso	Rouxinol-russo	Thrush Nightingale
Luscinia megarhynchos	Usignolo	Nachtigall	Rossignol philomèle	Ruiseñor Común	Rouxinol-comum	Common Nightingale
Luscinia megarhynchos megarhynchos/africana		Nachtigall-megarhynchos	Rossignol philomèle [megarhynchos ou africana]			Common Nightingale (megarhynchos/africana)
Luscinia megarhynchos golzii		Nachtigall-hafizi	Rossignol philomèle (hafizi)			Common Nightingale (golzii)
Luscinia luscinia/megarhynchos			Rossignol progné ou R. philomèle			Thrush/Common Nightingale
Luscinia svecica	Pettazzurro	Blaukehlchen	Gorgebleue à miroir	Ruiseñor Pechiazul	Pisco-de-peito-azul	Bluethroat
Luscinia svecica [svecica Group]	Pettazzurro golarossa	Blaukehlchen-svecica	Gorgebleue à miroir [svecica]			Bluethroat (Red-spotted)
Luscinia svecica azuricollis			Gorgebleue à miroir (ibérique)			Bluethroat (Iberian)
Luscinia svecica cyanecula/namnetum	Pettazzurro golabianca	Blaukehlchen-cyanecula	Gorgebleue à miroir [cyanecula, azuricollis or namnetum]			Bluethroat (White-spotted)
Calliope calliope	Calliope	Rubinkehlchen	Rossignol calliope	Ruiseñor Calíope	Rouxinol-de-garganta-vermelha	Siberian Rubythroat
Tarsiger cyanurus	Codazzurro	Blauschwanz	Robin à flancs roux	Ruiseñor Coliazul	Pisco-de-flanco-ruivo	Red-flanked Bluetail
Tarsiger cyanurus/rufilatus	Codazzurro	Blauschwanz	Robin à flancs roux	Ruiseñor Coliazul	Rouxinol-rabiazul	Red-flanked/Himalayan Bluetail
Ficedula albicilla	Pigliamosche della taiga	Taigazwergschnäpper	Gobemouche de la taïga	Papamoscas de la taiga		Taiga Flycatcher
Ficedula parva	Pigliamosche pettirosso	Zwergschnäpper	Gobemouche nain	Papamoscas Papirrojo	Papa-moscas-pequeno	Red-breasted Flycatcher
Ficedula albicilla/parva	Pigliamosche pettirosso	Zwergschnäpper	Gobemouche nain	Papamoscas Papirrojo	Papa-moscas-pequeno	Taiga/Red-breasted Flycatcher
Ficedula semitorquata	Balia caucasica	Halbringschnäpper	Gobemouche à demi-collier	Papamoscas Semiacollarado	Papa-moscas-de-meio-colar	Semicollared Flycatcher
Ficedula hypoleuca	Balia nera	Trauerschnäpper	Gobemouche noir	Papamoscas Cerrojillo	Papa-moscas-preto	European Pied Flycatcher
Ficedula speculigera	Balia dell'Atlante	Atlasschnäpper	Gobemouche de l'Atlas	Papamoscas del Atlas		Atlas Flycatcher
Ficedula hypoleuca/speculigera	Balia nera	Trauerschnäpper	Gobemouche noir	Papamoscas Cerrojillo	Papa-moscas-preto	European Pied/Atlas Flycatcher
Ficedula albicollis	Balia dal collare	Halsbandschnäpper	Gobemouche à collier	Papamoscas Acollarado	Papa-moscas-de-colar	Collared Flycatcher
Ficedula hypoleuca x albicollis			Hybride Gobemouche noir x G. à collier			European Pied x Collared Flycatcher (hybrid)
Ficedula hypoleuca/albicollis/semitorquata			Gobemouche noir, G. à collier ou G. à demi-collier			European Pied/Collared/Semicollared Flycatcher
Ficedula sp.			Ficedula sp.			Ficedula sp.
Phoenicurus fuliginosus	Codirosso acquaiolo piombato	Wasserrotschwanz	Rougequeue fuligineux	Colirrojo Fuliginoso		Plumbeous Redstart
Phoenicurus erythronotus	Codirosso di Eversmann	Sprosserrotschwanz	Rougequeue d'Eversmann	Colirrojo de Eversmann	Rabirruivo de Eversmann	Rufous-backed Redstart
Phoenicurus leucocephalus	Codirosso acquaiolo capobianco	Weißkopf-Rotschwanz	Rougequeue à calotte blanche	Colirrojo Acuático		White-capped Redstart
Phoenicurus moussieri	Codirosso algerino	Diademrotschwanz	Rougequeue de Moussier	Colirrojo Diademado	Rabirruivo de Moussier	Moussier's Redstart
Phoenicurus phoenicurus	Codirosso	Gartenrotschwanz	Rougequeue à front blanc	Colirrojo Real	Rabirruivo-de-testa-branca	Common Redstart
Phoenicurus phoenicurus phoenicurus	Codirosso comune	Gartenrotschwanz-phoenicurus	Rougequeue à front blanc (nominal)			Common Redstart (Common)
Phoenicurus phoenicurus samamisicus		Gartenrotschwanz-samamisicus	Rougequeue à front blanc (samamisicus)			Common Redstart (Ehrenberg's)
Phoenicurus ochruros	Codirosso spazzacamino	Hausrotschwanz	Rougequeue noir	Colirrojo Tizón	Rabirruivo-preto	Black Redstart
Phoenicurus ochruros gibraltariensis/aterrimus		Hausrotschwanz-gibraltariensis	Rougequeue noir [gibraltariensis ou aterrimus]			Black Redstart (Western)
Phoenicurus ochruros [ochruros Group]		Hausrotschwanz-ochruros	Rougequeue noir [ochruros]			Black Redstart (Eastern)
Phoenicurus phoenicurus x ochruros			Hybride Rougequeue noir x R. à front blanc			Common x Black Redstart (hybrid)
Phoenicurus phoenicurus/ochruros			Rougequeue à front blanc ou R. noir			Common/Black Redstart
Phoenicurus sp.			Phoenicurus sp.			redstart sp.
Monticola saxatilis	Codirossone	Steinrötel	Monticole de roche	Roquero Rojo	Melro-das-rochas	Rufous-tailed Rock-Thrush
Monticola solitarius	Passero solitario	Blaumerle	Monticole bleu	Roquero Solitario	Melro-azul	Blue Rock-Thrush
Monticola solitarius solitarius/longirostris		Blaumerle-solitarius	Monticole bleu			Blue Rock-Thrush (solitarius/longirostris)
Monticola sp.			Monticola sp.			rock-thrush sp.
Saxicola rubetra	Stiaccino	Braunkehlchen	Tarier des prés	Tarabilla Norteña	Cartaxo-nortenho	Whinchat
Saxicola dacotiae	Saltimpalo delle Canarie	Kanarenschmätzer	Tarier des Canaries	Tarabilla Canaria	Cartaxo das Canárias	Fuerteventura Stonechat
Saxicola rubicola	Saltimpalo	Schwarzkehlchen	Tarier pâtre	Tarabilla común	Cartaxo-comum	European Stonechat
Saxicola maurus	Saltimpalo siberiano	Siberisches Schwarzkehlchen	Tarier de Sibérie	Tarabilla común siberiana		Siberian Stonechat
Saxicola maurus hemprichii			Tarier du Caucase			Siberian Stonechat (Caspian)
Saxicola maurus [maurus Group]	Saltimpalo siberiano	Siberisches Schwarzkehlchen	Tarier de Sibérie [maurus, variegatus ou indicus]	Tarabilla común siberiana		Siberian Stonechat (Siberian)
Saxicola maurus stejnegeri	Saltimpalo di Stejneger	Stejnegers Schwarzkehlchen	Tarier de Stejneger			Siberian Stonechat (Stejneger's)
Saxicola rubicola/maurus	Saltimpalo africano	Schwarzkehlchen	Tarier pâtre	Tarabilla Común	Cartaxo-comum	European/Siberian Stonechat
Saxicola torquatus	Saltimpalo africano	Afrikanisches Schwarzkehlchen	Tarier d'Afrique	Tarabilla Común	Cartaxo	African Stonechat
Saxicola caprata	Saltimpalo bianco e nero	Mohrenschwarzkehlchen	Tarier pie	Tarabilla Pía	Cartaxo-preto	Pied Bushchat
Saxicola sp.			Saxicola sp.			Saxicola sp.
Oenanthe oenanthe	Culbianco	Steinschmätzer	Traquet motteux	Collalba Gris	Chasco-cinzento	Northern Wheatear
Oenanthe oenanthe leucorhoa		Steinschmätzer-leucorhoa	Traquet motteux (Groenland)			Northern Wheatear (Greenland)
Oenanthe oenanthe oenanthe/libanotica		Steinschmätzer-oenanthe	Traquet motteux [oenanthe ou libanotica]			Northern Wheatear (Eurasian)
Oenanthe oenanthe seebohmi		Steinschmätzer-seebohmi	Traquet de Seebohm	Collalba del Atlas		Northern Wheatear (Black-throated)
Oenanthe isabellina	Culbianco isabellino	Isabellsteinschmätzer	Traquet isabelle	Collalba Isabel	Chasco-isabel	Isabelline Wheatear
Oenanthe monacha	Monachella dal cappuccio	Kappensteinschmätzer	Traquet à capuchon	Collalba Monje	Chasco-de-capuz	Hooded Wheatear
Oenanthe deserti	Monachella del deserto	Wüstensteinschmätzer	Traquet du désert	Collalba Desértica	Chasco-do-deserto	Desert Wheatear
Oenanthe pleschanka	Monachella dorsonero	Nonnensteinschmätzer	Traquet pie	Collalba Pía	Chasco-de-peito-preto	Pied Wheatear
Oenanthe hispanica	Monachella	Maurensteinschmätzer	Traquet oreillard	Collalba Rubia	Chasco-ruivo	Black-eared Wheatear
Oenanthe hispanica hispanica	Monachella	Mittelmeer-Steinschmätzer-hispanica	Traquet oreillard	Collalba rubia	Chasco-ruivo	Black-eared Wheatear (Western)
Oenanthe hispanica melanoleuca	Monachella orientale	Mittelmeer-Steinschmätzer-melanoleuca	Traquet noir et blanc			Black-eared Wheatear (Eastern)
Oenanthe oenanthe/hispanica			Traquet motteux ou T. oreillard			Northern/Black-eared Wheatear
Oenanthe pleschanka x hispanica			Hybride Traquet pie x T. oreillard			Pied x Black-eared Wheatear (hybrid)
Oenanthe cypriaca	Monachella di Cipro	Zypernsteinschmätzer	Traquet de Chypre	Collalba Chipriota	Chasco de Chipre	Cyprus Wheatear
Oenanthe pleschanka/cypriaca	Monachella dorsonero	Nonnenschmätzer	Traquet pie	Collaba Pía	Chasco-de-peito-preto	Pied/Cyprus Wheatear
Oenanthe moesta	Monachella testagrigia	Fahlbürzel-Steinschmätzer	Traquet à tête grise	Collalba Culirroja	Chasco-triste	Red-rumped Wheatear
Oenanthe picata	Monachella variabile	Elstersteinschmätzer	Traquet variable	Collalba Variable	Chasco-oriental	Variable Wheatear
Oenanthe leucura	Monachella nera	Trauersteinschmätzer	Traquet rieur	Collalba Negra	Chasco-preto	Black Wheatear
Oenanthe leucopyga	Monachella nera testabianca	Saharasteinschmätzer	Traquet à tête blanche	Collalba Yebélica	Chasco-de-barrete-branco	White-crowned Wheatear
Oenanthe finschii	Monachella di Finsch	Felsensteinschmätzer	Traquet de Finsch	Collalba de Finsch	Chasco de Finsch	Finsch's Wheatear
Oenanthe lugens	Monachella lamentosa	Schwarzrücken-Steinschmätzer	Traquet deuil	Collalba Núbica	Chasco-fúnebre	Mourning Wheatear
Oenanthe xanthoprymna	Monachella codirossa	Rostbürzel-Steinschmätzer	Traquet kurde	Collalba Persa	Chasco-de-cauda-ruiva	Kurdish Wheatear
Oenanthe xanthoprymna/chrysopygia	Monachella codirossa orientale	Rostbürzelschmätzer	Traquet à queue rousse	Collalba de Cola Roja	Chasco-de-cauda-ruiva	Kurdish/Persian Wheatear (Red-tailed Wheatear)
Oenanthe sp.			Oenanthe sp.			wheatear sp.
Muscicapidae sp.			Muscicapidé sp.			Muscicapid sp.
Bombycilla garrulus	Beccofrusone	Seidenschwanz	Jaseur boréal	Ampelis Europeo	Tagarela-europeu	Bohemian Waxwing
Bombycilla cedrorum	Beccofrusone dei cedri	Zedernseidenschwanz	Jaseur d'Amérique	Ampelis Americano	Picoteiro-americano	Cedar Waxwing
Bombycilla garrulus/cedrorum			Jaseur boréal ou J. d'Amérique			Bohemian/Cedar Waxwing
Ploceus cucullatus	Tessitore gendarme	Dorfweber	Tisserin gendarme	Tejedor Común	Tecelão-malhado	Village Weaver
Ploceus melanocephalus	Tessitore testanera	Schwarzkopfweber	Tisserin à tête noire	Tejedor Cabecinegro	Tecelão-de-cabeça-preta	Black-headed Weaver
Ploceus sp.			Ploceus sp.			Ploceus sp.
Quelea erythrops	Quelea testarossa	Rotkopfweber	Travailleur à tête rouge	Quelea Cabecirrojo	Quelea de cabeca vermelha	Red-headed Quelea
Quelea quelea	Quelea beccorosso	Blutschnabelweber	Travailleur à bec rouge	Quelea Común	Quelea de bico vermelho	Red-billed Quelea
Euplectes hordeaceus	Vescovo alinere	Flammenweber	Euplecte monseigneur	Obispo Alinegro	Bispo de coroa vermelha	Black-winged Bishop
Euplectes afer	Vescovo dorato	Tahaweber	Euplecte vorabé	Obispo Coronigualdo	Bispo-de-coroa-amarela	Yellow-crowned Bishop
Euplectes sp.			Euplectes sp.			Euplectes sp.
Estrilda troglodytes	Astrilde becco di corallo	Grauastrild	Astrild cendré	Estrilda Culinegra	Januário	Black-rumped Waxbill
Estrilda astrild	Astrilde di Sant'Elena	Wellenastrild	Astrild ondulé	Estrilda Común	Bico-de-lacre	Common Waxbill
Estrilda atricapilla	Estrilda testanera	Kappenastrild	Astrild à tête noire	Estrilda Capirotada	Bico de lacre de cabeca preta	Black-headed Waxbill
Estrilda sp.			Estrilda sp.			waxbill sp.
Amandava amandava	Bengalino comune	Tigerastrild	Bengali rouge	Bengalí Rojo	Bengali-vermelho	Red Avadavat
Amandava amandava amandava/punicea			Bengali rouge [amandava or punicea]			Red Avadavat (Red-bellied)
Lonchura punctulata	Munia pettosquamato	Muskatbronzemännchen	Capucin damier	Capuchino Punteado	Capuchinho-dominó	Scaly-breasted Munia
Lonchura malacca	Cappuccino tricolore	Schwarzbauchnonne	Capucin à dos marron	Capuchino Tricolor	capuchinho-tricolor	Tricolored Munia
Lonchura atricapilla	Cappuccino testanera	Schwarzkappennonne	Capucin à tête noire	Capuchino Castaño	capuchinho-castanho	Chestnut Munia
Lonchura malacca/atricapilla	Cappuccino tricolore	Schwarzbauchnonne	Capucin à dos marron	Capuchino de Cabeza Negra	Capuchinho-tricolor	Tricolored/Chestnut Munia
Lonchura maja	Munia testabianca	Weißkopfnonne	Capucin à tête blanche	Capuchino Cabeciblanco	Capuchinho-de-cabeça-branca	White-headed Munia
Estrildidae sp.			Estrildidae sp.			estrildid finch sp.
Prunella collaris	Sordone	Alpenbraunelle	Accenteur alpin	Acentor Alpino	Ferreirinha-alpina	Alpine Accentor
Prunella montanella	Passera scopaiola asiatica	Bergbraunelle	Accenteur montanelle	Acentor Siberiano	Ferreirinha de Pallas	Siberian Accentor
Prunella atrogularis	Passera scopaiola golanera	Schwarzkehlbraunelle	Accenteur à gorge noire	Acentor Gorginegro	Ferreirinha-de-garganta-preta	Black-throated Accentor
Prunella modularis	Passera scopaiola	Heckenbraunelle	Accenteur mouchet	Acentor Común	Ferreirinha-comum	Dunnock
Prunella sp.			Prunella sp.			accentor sp.
Passer domesticus	Passera Europea	Haussperling	Moineau domestique	Gorrión Común	Pardal-comum	House Sparrow
Passer italiae	Passera d'Italia	Italiensperling	Moineau cisalpin	Gorrión Italiano	Pardal-italiano	Italian Sparrow
Passer domesticus x italiae			Hybride Moineau domestique x M. cisalpin			House x Italian Sparrow (hybrid)
Passer domesticus/italiae	Passera Europea	Haussperling	Moineau domestique	Gorrión Doméstico	Pardal	House/Italian Sparrow
Passer hispaniolensis	Passera sarda	Weidensperling	Moineau espagnol	Gorrión Moruno	Pardal-espanhol	Spanish Sparrow
Passer domesticus x hispaniolensis			Hybride Moineau domestique x M. espagnol			House x Spanish Sparrow (hybrid)
Passer italiae x hispaniolensis			Hybride Moineau cisalpin x M. espagnol			Italian x Spanish Sparrow (hybrid)
Passer domesticus/hispaniolensis			Moineau domestique ou M. espagnol			House/Spanish Sparrow
Passer italiae/hispaniolensis			Moineau cisalpin ou M. espagnol			Italian/Spanish Sparrow
Passer moabiticus	Passero del Mar Morto	Moabsperling	Moineau de la mer Morte	Gorrión del Mar Muerto	Pardal do Levante	Dead Sea Sparrow
Passer moabiticus moabiticus	Passero del Mar Morto	Moabsperling	Moineau de la mer Morte	Gorrión del Mar Muerto	Pardal do Levante	Dead Sea Sparrow (Dead Sea)
Passer montanus	Passera mattugia	Feldsperling	Moineau friquet	Gorrión Molinero	Pardal-montez	Eurasian Tree Sparrow
Passer domesticus x montanus			Hybride Moineau domestique x M. friquet			House x Eurasian Tree Sparrow (hybrid)
Passer domesticus/montanus			Moineau domestique ou M. friquet			House/Eurasian Tree Sparrow
Passer luteus	Passero dorato del Sudan	Braunrücken-Goldsperling	Moineau doré	Gorrión Dorado	Pardal-dourado	Sudan Golden Sparrow
Passer sp.			Passer sp.			Passer sp.
Petronia petronia	Passera lagia	Steinsperling	Moineau soulcie	Gorrión Chillón	Pardal-francês	Rock Sparrow
Montifringilla nivalis	Fringuello alpino	Schneesperling	Niverolle alpine	Gorrión Alpino	Pardal-alpino	White-winged Snowfinch
Motacilla cinerea	Ballerina gialla	Gebirgsstelze	Bergeronnette des ruisseaux	Lavandera Cascadeña	Alvéola-cinzenta	Gray Wagtail
Motacilla flava	Cutrettola	Wiesenschafstelze	Bergeronnette printanière	Lavandera Boyera	alvéola-amarela	Western Yellow Wagtail
Motacilla flava lutea/flavissima		Schafstelze-flavissima	Bergeronnette printanière [flavissima ou lutea]	Lavandera Boyera Inglesa		Western Yellow Wagtail (lutea/flavissima)
Motacilla flava flavissima		Schafstelze-flavissima	Bergeronnette flavéole	Lavandera Boyera Inglesa		Western Yellow Wagtail (flavissima)
Motacilla flava lutea		Schafstelze-lutea	Bergeronnette kirghize			Western Yellow Wagtail (lutea)
Motacilla flava thunbergi		Schafstelze-thunbergi	Bergeronnette printanière (à tête grise)			Western Yellow Wagtail (thunbergi)
Motacilla flava flava/beema	Cutrettola	Schafstelze	Bergeronnette printanière	Lavandera Boyera	Alvéola-amarela	Western Yellow Wagtail (flava/beema)
Motacilla flava flava		Schafstelze-flava	Bergeronnette printanière (nominal)	Lavandera Boyera		Western Yellow Wagtail (flava)
Motacilla flava beema		Schafstelze-beema	Bergeronnette à tête pâle	Lavandera Boyera de Sykes		Western Yellow Wagtail (beema)
Motacilla flava [cinereocapilla Group]		Schafstelze-cinereocapilla	Bergeronnette à tête cendrée	Lavandera Boyera Italiana		Western Yellow Wagtail (iberiae/cinereocapilla/pygmaea)
Motacilla flava iberiae		Schafstelze-iberiae	Bergeronnette ibérique	Lavandera Ibérica		Western Yellow Wagtail (iberiae)
Motacilla flava cinereocapilla		Schafstelze-cinereocapilla	Bergeronnette printanière (à tête cendrée)			Western Yellow Wagtail (cinereocapilla)
Motacilla flava feldegg		Schafstelze-feldegg	Bergeronnette à tête noire	Lavandera Boyera Balcánica		Western Yellow Wagtail (feldegg)
Motacilla flava flava x flavissima			Hybride Bergeronnette printanière x B. flavéole			Western Yellow Wagtail (Channel Wagtail intergrade)
Motacilla flava (superciliaris intergrade)			Bergeronnette printanière (type superciliaris)			Western Yellow Wagtail (superciliaris-type intergrade)
Motacilla flava (dombrowskii intergrade)			Bergeronnette printanière (type dombrowskii)			Western Yellow Wagtail (dombrowskii-type intergrade)
Motacilla flava (xanthophrys intergrade)			Bergeronnette printanière (type xanthophrys)			Western Yellow Wagtail (xanthophrys-type intergrade)
Motacilla tschutschensis	Cutrettola del Pacifico	Östliche Schafstelze	Bergeronnette de Béringie	Lavandera de Chukotka		Eastern Yellow Wagtail
Motacilla tschutschensis tschutschensis/plexa	Cutrettola del Pacifico	Östliche Schafstelze	Bergeronnette de Béringie			Eastern Yellow Wagtail (Eastern)
Motacilla tschutschensis taivana		Schafstelze-taivana	Bergeronnette à tête verte			Eastern Yellow Wagtail (Green-headed)
Motacilla flava/tschutschensis	Cutrettola	Schafstelze	Bergeronnette printanière	Lavandera Boyera	Alvéola-amarela	Western/Eastern Yellow Wagtail
Motacilla citreola	Cutrettola testagialla orientale	Zitronenstelze	Bergeronnette citrine	Lavandera Cetrina	Alvéola-citrina	Citrine Wagtail
Motacilla citreola citreola/werae			Bergeronnette citrine [citreola ou werae]			Citrine Wagtail (Gray-backed)
Motacilla flava x citreola			Hybride Bergeronnette citrine x B. printanière			Western Yellow x Citrine Wagtail (hybrid)
Motacilla alba	Ballerina bianca	Bachstelze 	Bergeronnette grise	Lavandera Blanca	alvéola-branca	White Wagtail
Motacilla alba alba/dukhunensis	Ballerina bianca	Bachstelze	Bergeronnette grise	Lavandera Blanca	Alvéola-branca	White Wagtail (White-faced)
Motacilla alba yarrellii	Ballerina nera	Trauer-Bachstelze	Bergeronnette de Yarrell	Lavandera de Yarrell		White Wagtail (British)
Motacilla alba ocularis		Bachstelze-ocularis	Bergeronnette de Sibérie			White Wagtail (ocularis)
Motacilla alba subpersonata		Marokkanische Bachstelze	Bergeronnette du Maroc			White Wagtail (Moroccan)
Motacilla alba personata		Bachstelze-personata	Bergeronnette masquée			White Wagtail (Masked)
Motacilla alba baicalensis		Bachstelze-baicalensis	Bergeronnette du Baïkal			White Wagtail (Transbaikalian)
Motacilla alba leucopsis		Bachstelze-leucopsis	Bergeronnette de l'Amour			White Wagtail (Chinese)
Motacilla sp.			Motacilla sp.			wagtail sp.
Anthus richardi	Calandro maggiore	Spornpieper	Pipit de Richard	Bisbita de Richard	Petinha de Richard	Richard's Pipit
Anthus richardi/rufulus	Calandro maggiore	Spornpieper	Pipit de Richard	Bisbita de Richard	Petinha de Richard	Richard's/Paddyfield Pipit
Anthus godlewskii	Calandro di Blyth	Steppenpieper	Pipit de Godlewski	Bisbita Estepario	Petinha-mongol	Blyth's Pipit
Anthus campestris	Calandro	Brachpieper	Pipit rousseline	Bisbita Campestre	Petinha-dos-campos	Tawny Pipit
Anthus berthelotii	Pispola di Berthelot	Kanarenpieper	Pipit de Berthelot	Bisbita Caminero	Corre-caminho	Berthelot's Pipit
Anthus pratensis	Pispola	Wiesenpieper	Pipit farlouse	Bisbita Pratense	Petinha-dos-prados	Meadow Pipit
