LAT	IT	DE	FR	ES	PT	EN
Phylloscopus nitidus	Luì nitido	Wacholderlaubsänger	Pouillot du Caucase	Mosquitero del Cáucaso	Felosa-brilhante	Green Warbler
Phylloscopus trochiloides	Luì verdastro	Grünlaubsänger	Pouillot verdâtre	Mosquitero Verdoso	Felosa-troquilóide	Greenish Warbler
Phylloscopus trochiloides viridanus		Grünlaubsänger-viridanus	Pouillot verdâtre occidental			Greenish Warbler (viridanus)
Phylloscopus nitidus/trochiloides			Pouillot du Caucase ou P. verdâtre			Green/Greenish Warbler
Phylloscopus plumbeitarsus	Luì verdastro barrato	Middendorff-Laubsänger	Pouillot à deux barres	Mosquitero Patigrís	Felosa-verde-listada	Two-barred Warbler
Phylloscopus trochiloides/plumbeitarsus	Luì verdastro	Grünlaubsänger	Pouillot verdâtre	Mosquitero Verdoso	Felosa-troquilóide	Greenish/Two-barred Warbler
Phylloscopus magnirostris	Luì beccogrosso	Schluchtenlaubsänger	Pouillot à gros bec	Mosquitero Picudo		Large-billed Leaf Warbler
Phylloscopus borealis	Luì boreale	Wanderlaubsänger	Pouillot boréal	Mosquitero Boreal	Felosa-boreal	Arctic Warbler
Phylloscopus examinandus		Wanderlaubsänger	Pouillot du Kamtchatka	Mosquitero de Kamchatka		Kamchatka Leaf Warbler
Phylloscopus xanthodryas/borealis/examinandus	Luì boreale	Wanderlaubsänger	Pouillot boréal	Mosquitero Boreal	Felosa-boreal	Japanese Leaf/Arctic/Kamchatka Leaf Warbler
Phylloscopus sp.			Phylloscopus sp.			Phylloscopus sp.
Cettia cetti	Usignolo di fiume	Seidensänger	Bouscarle de Cetti	Cetia Ruiseñor	Rouxinol-bravo	Cetti's Warbler
Cettia sp.			Cettia sp.			Cettia sp.
Aegithalos caudatus	Codibugnolo	Schwanzmeise	Orite à longue queue	Mito Común	Chapim-rabilongo	Long-tailed Tit
Aegithalos caudatus caudatus	Codibugnolo nordico	Nördliche Schwanzmeise	Orite longue queue (nominal)			Long-tailed Tit (caudatus)
Aegithalos caudatus [europaeus Group]		Schwanzmeise	Orite longue queue [europaeus]			Long-tailed Tit (europaeus Group)
Aegithalos caudatus [alpinus Group]		Schwanzmeise	Orite longue queue [alpinus]			Long-tailed Tit (alpinus Group)
Sylvia atricapilla	Capinera	Mönchsgrasmücke	Fauvette à tête noire	Curruca Capirotada	Toutinegra-de-barrette-preto	Eurasian Blackcap
Sylvia borin	Beccafico	Gartengrasmücke	Fauvette des jardins	Curruca Mosquitera	Felosa-das-figueiras	Garden Warbler
Sylvia deserti	Sterpazzola del deserto	Saharagrasmücke	Fauvette du désert	Curruca Sahariana		African Desert Warbler
Sylvia nana	Sterpazzola nana	Wüstengrasmücke	Fauvette naine	Curruca Sahariana	Toutinegra do Sara	Asian Desert Warbler
Sylvia nisoria	Bigia padovana	Sperbergrasmücke	Fauvette épervière	Curruca Gavilana	Toutinegra-gavião	Barred Warbler
Sylvia curruca	Bigiarella	Klappergrasmücke	Fauvette babillarde	Curruca Pequeña	Papa-amoras-cinzento	Lesser Whitethroat
Sylvia curruca curruca/blythi	Bigiarella	Klappergrasmücke	Fauvette babillarde [curruca, blythi ou caucasica]	Curruca Zarcerilla	papa-amoras-cinzento	Lesser Whitethroat (curruca/blythi)
Sylvia curruca halimodendri		Klappergrasmücke-halimodendri	Fauvette babillarde [halimodendri ou telengitica]			Lesser Whitethroat (halimodendri)
Sylvia curruca curruca/blythi/halimodendri	Bigiarella	Klappergrasmücke	Fauvette babillarde	Curruca Zarcerilla	papa-amoras-cinzento	Lesser Whitethroat (Lesser)
Sylvia curruca minula	Bigiarella minore	Buschgrasmücke	Fauvette minule	Curruca Chica		Lesser Whitethroat (Desert)
Sylvia curruca margelanica			Fauvette de Margelan	Curruca Margelanica		Lesser Whitethroat (Gansu)
Sylvia curruca minula/margelanica	Bigiarella minore	Buschgrasmücke	Fauvette minule	Curruca Chica		Lesser Whitethroat (Desert/Gansu)
Sylvia curruca althaea	Bigiarella di Hume	Eibischgrasmücke	Fauvette de Hume	Curruca de Hume		Lesser Whitethroat (Hume's)
Sylvia curruca curruca /althaea	Bigiarella	Klappergrasmücke	Fauvette babillarde	Curruca Pequeña	Papa-amoras-cinzento	Lesser Whitethroat (Lesser/Hume's)
Sylvia hortensis	Bigia grossa	Orpheusgrasmücke	Fauvette orphée	Curruca Mirlona	Toutinegra-real	Western Orphean Warbler
Sylvia crassirostris	Bigia grossa orientale	Östliche Orpheusgrasmücke	Fauvette orphéane	Curruca mirlona oriental	Toutinegra-oriental	Eastern Orphean Warbler
Sylvia hortensis/crassirostris	Bigia grossa	Orpheusgrasmücke	Fauvette orphée	Curruca Mirlona	Toutinegra-real	Western/Eastern Orphean Warbler
Sylvia deserticola	Magnanina di Tristram	Atlasgrasmücke	Fauvette de l'Atlas	Curruca del Atlas	Toutinegra do Atlas	Tristram's Warbler
Sylvia melanothorax	Occhiocotto di Cipro	Schuppengrasmücke	Fauvette de Chypre	Curruca Chipriota	Toutinegra de Chipre	Cyprus Warbler
Sylvia mystacea	Occhiocotto di Menetries	Tamariskengrasmücke	Fauvette de Ménétries	Curruca de Menetries	Toutinegra de Menetries	Menetries's Warbler
Sylvia mystacea mystacea			Fauvette de Ménétries (nominal)			Menetries's Warbler (mystacea)
Sylvia ruppeli	Bigia di Ruppell	Maskengrasmücke	Fauvette de Rüppell	Curruca de Rüppell	Felosa de Rüppell	Rüppell's Warbler
Sylvia cantillans	Sterpazzolina	Weißbart-Grasmücke	Fauvette passerinette	Curruca Carrasqueña	Toutinegra-carrasqueira	Subalpine Warbler
Sylvia cantillans cantillans		Weissbartgrasmücke-cantillans	Fauvette des Balkans (nominal)			Subalpine Warbler (cantillans)
Sylvia cantillans inornata	Sterpazzolina occidentale	Weissbartgrasmücke-inornata	Fauvette de Tschusi			Subalpine Warbler (inornata)
Sylvia cantillans cantillans/inornata			Fauvette passerinette			Subalpine Warbler (cantillans/inornata)
Sylvia cantillans albistriata		Weissbartgrasmücke-albistriata	Fauvette des Balkans(orientale)			Subalpine Warbler (albistriata)
Sylvia subalpina	Sterpazzolina di Moltoni	Ligurien-Bartgrasmücke	Fauvette de Moltoni	Curruca subalpina		Moltoni's Warbler
Sylvia cantillans/subalpina	Sterpazzolina	Weißbart-Grasmücke	Fauvette passerinette	Curruca Carrasqueña	Toutinegra-carrasqueira	Subalpine/Moltoni's Warbler
Sylvia melanocephala	Occhiocotto	Samtkopf-Grasmücke	Fauvette mélanocéphale	Curruca Cabecinegra	Toutinegra-de-cabeça-preta	Sardinian Warbler
Sylvia communis	Sterpazzola	Dorngrasmücke	Fauvette grisette	Curruca Zarcera	Papa-amoras-comum	Greater Whitethroat
Sylvia conspicillata	Sterpazzola della Sardegna	Brillengrasmücke	Fauvette à lunettes	Curruca Tomillera	Toutinegra-tomilheira	Spectacled Warbler
Sylvia sarda	Magnanina sarda	Sardengrasmücke	Fauvette sarde	Curruca Sarda	Toutinegra-sarda	Marmora's Warbler
Sylvia undata	Magnanina comune	Provencegrasmücke	Fauvette pitchou	Curruca Rabilarga	Felosa-do-mato	Dartford Warbler
